spotify_id,name,artists,album_name,duration_ms,album_release_date
2aYZaN5SmkRDLsrrV8GkBQ,LA PATRULLA,"Peso Pluma, Neton Vega",ÉXODO,130614,2024-06-20
6HrALJOMsfPCCbUo5cJCON,ESCAPATE,"Tito Double P, Chino Pacas",INCÓMODO,144674,2024-08-22
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,After Hours,200040,2020-03-20
3NE6g9h77FZbQqCLzUpGRt,Light Year (Practice),Lil Uzi Vert,Eternal Atake 2,164366,2024-11-01
0F60WLPs6Oz2slHomvLt9U,We Good,Lil Uzi Vert,Eternal Atake 2,125000,2024-11-01
569uHYIB0X324FZOBEhvit,Ghostbusters,Ray Parker Jr.,Greatest Hits,239133,1993-10-12
0xxZY5C9xxij3D1HkzbnfC,Monster Mash,"Bobby ""Boris"" Pickett, The Crypt-Kickers",The Original Monster Mash,192040,1962-01-01
6hu1bJBNMeXIepHr1joKW4,Meteor Man,Lil Uzi Vert,Eternal Atake 2,227569,2024-11-01
3mhsDyQpX2L8sJMdWUHOi3,This Is Halloween,The Citizens of Halloween,The Nightmare Before Christmas (Original Motion Picture Soundtrack),196560,1993-10-12
7KGqSVxESDoLeeRCiIxZZ2,The Rush (feat. Big Time Rush),"Lil Uzi Vert, Big Time Rush",Eternal Atake 2,186781,2024-11-01
2LlQb7Uoj1kKyGhlkBf9aC,Thriller,Michael Jackson,Thriller,357800,1982-11-30
5L5GwmHf7R1zK4APVerRFL,Paars In The Mars,Lil Uzi Vert,Eternal Atake 2,180022,2024-11-01
1197AvSs0lMg5kNIGaeENm,Not An Option,Lil Uzi Vert,Eternal Atake 2,150895,2024-11-01
4YLizxRQsTqqnvzzYq2VaE,Mr Chow,Lil Uzi Vert,Eternal Atake 2,177273,2024-11-01
4ppKM7xnkSAwSyKqD4QTY4,Chill Bae,Lil Uzi Vert,Eternal Atake 2,138323,2024-11-01
2QN9zL3SzXdGqqmXO68gFp,Somebody's Watching Me - Single Version,Rockwell,Somebody’s Watching Me (Sped Up),238786,2023-09-22
6f1DJYPjsyIwMD4g1h3fIK,Lyft Em Up,Lil Uzi Vert,Eternal Atake 2,164594,2024-11-01
06iup3YJ4EsnkSxyQKFfNk,She Stank,Lil Uzi Vert,Eternal Atake 2,125810,2024-11-01
